subject,stage,n_spectra,r2_fixed,r2_knee,delta_R2,npeaks_fixed,npeaks_knee,delta_npeaks,ap_exp_fixed,ap_exp_knee
01,S1,760,0.988914,0.992038,0.003125,3.778947,4.181579,-0.402632,1.845253,2.264936
01,S2,760,0.986978,0.988127,0.001149,2.989474,2.338158,0.651316,2.198781,2.640843
01,S3,665,0.992521,0.992375,-0.000146,2.714286,2.473684,0.240602,2.470739,2.957260
01,S4,760,0.991501,0.990249,-0.001252,2.657895,2.348684,0.309211,2.664331,3.020721
01,REM,760,0.985380,0.988090,0.002711,3.809211,4.015789,-0.206579,1.800009,2.169535
02,S1,760,0.981888,0.980728,-0.001160,4.002632,3.675000,0.327632,1.601458,2.102095
02,S2,760,0.987917,0.986843,-0.001073,2.815789,2.613158,0.202632,2.006677,2.508768
02,S3,646,0.989473,0.986665,-0.002808,2.738390,2.642415,0.095975,2.352619,2.647712
02,S4,760,0.988791,0.986483,-0.002308,2.839474,2.626316,0.213158,2.419129,2.704358
02,REM,760,0.986996,0.987108,0.000112,3.919737,3.623684,0.296053,1.727349,2.056820
03,S1,760,0.979623,0.957667,-0.021956,3.381579,2.860526,0.521053,1.692651,3.145868
03,S2,760,0.988265,0.979296,-0.008968,3.248684,2.376316,0.872368,2.051213,3.025409
03,S3,741,0.990737,0.982280,-0.008456,3.103914,2.373819,0.730094,2.315446,3.077563
03,S4,760,0.993697,0.991892,-0.001804,2.731579,2.580263,0.151316,2.636157,2.944465
03,REM,760,0.987173,0.979583,-0.007590,3.727632,3.230263,0.497368,1.798516,2.575900
04,S1,703,0.959329,0.974381,0.015052,3.665718,3.645804,0.019915,1.583208,1.684289
04,S2,760,0.988080,0.987622,-0.000457,3.019737,2.480263,0.539474,2.112184,2.415214
04,S3,532,0.990719,0.990787,0.000069,2.951128,2.513158,0.437970,2.336594,2.651887
04,S4,760,0.987671,0.987147,-0.000524,2.569737,2.582895,-0.013158,2.668062,2.872185
04,REM,760,0.985151,0.991487,0.006336,3.888158,4.390789,-0.502632,1.846127,2.386065
05,S1,760,0.970852,0.973929,0.003077,3.550000,3.097368,0.452632,1.738150,1.833016
05,S2,760,0.984318,0.981649,-0.002669,2.819737,2.139474,0.680263,2.193538,2.440376
05,S3,684,0.991824,0.988061,-0.003763,2.704678,2.077485,0.627193,2.474315,2.730440
05,S4,760,0.992335,0.990275,-0.002060,2.792105,2.505263,0.286842,2.732699,2.924559
05,REM,760,0.987676,0.988756,0.001080,4.231579,3.955263,0.276316,1.970526,2.186709
06,S1,760,0.983452,0.982372,-0.001080,3.764474,3.310526,0.453947,1.833465,2.318173
06,S2,760,0.988186,0.989784,0.001598,3.207895,2.407895,0.800000,2.220116,2.777567
06,S3,760,0.991502,0.992612,0.001110,2.957895,2.221053,0.736842,2.468259,3.001498
06,S4,760,0.993537,0.994006,0.000469,2.696053,2.451316,0.244737,2.752720,3.110648
06,REM,760,0.964338,0.969855,0.005516,3.830263,3.556579,0.273684,1.791664,2.334781
07,S1,760,0.980040,0.968814,-0.011225,3.669737,3.131579,0.538158,1.721531,2.394509
07,S2,760,0.984268,0.980018,-0.004250,3.410526,2.680263,0.730263,2.089765,2.735348
07,S3,665,0.991022,0.987118,-0.003904,3.168421,2.610526,0.557895,2.365449,2.901069
07,S4,760,0.994091,0.992777,-0.001313,3.097368,2.909211,0.188158,2.768541,3.030744
07,REM,760,0.987450,0.984584,-0.002866,3.700000,3.378947,0.321053,1.902041,2.548099
08,S1,760,0.984694,0.990044,0.005350,3.482895,3.623684,-0.140789,1.876425,2.886894
08,S2,760,0.985986,0.991594,0.005608,3.109211,2.480263,0.628947,2.235617,3.015027
08,S3,646,0.988593,0.993041,0.004447,2.846749,2.741486,0.105263,2.433450,3.115765
08,S4,760,0.990829,0.994108,0.003279,2.571053,2.856579,-0.285526,2.715858,3.251463
08,REM,760,0.980325,0.986829,0.006504,3.701316,4.063158,-0.361842,1.841810,2.629013
09,S1,760,0.980457,0.981470,0.001014,3.751316,3.727632,0.023684,1.782268,2.220898
09,S2,760,0.988056,0.990317,0.002261,3.756579,3.456579,0.300000,2.101748,2.501189
09,S3,760,0.992674,0.993088,0.000414,3.217105,3.059211,0.157895,2.431412,2.772292
09,S4,760,0.993739,0.994207,0.000468,3.107895,3.298684,-0.190789,2.602553,2.871594
09,REM,760,0.977383,0.981402,0.004019,3.909211,3.855263,0.053947,1.721098,2.051214
10,S1,760,0.974994,0.978364,0.003370,4.106579,3.860526,0.246053,1.651208,1.772279
10,S2,760,0.988669,0.987400,-0.001269,3.093421,2.234211,0.859211,2.192057,2.730155
10,S3,703,0.992129,0.991703,-0.000426,2.705548,2.253201,0.452347,2.402724,2.878276
10,S4,760,0.992931,0.993984,0.001053,2.609211,2.721053,-0.111842,2.566014,2.987870
10,REM,760,0.984873,0.987110,0.002238,4.314474,4.127632,0.186842,1.814609,2.125794
11,S1,760,0.967723,0.968376,0.000653,3.322368,3.655263,-0.332895,2.005763,2.305410
11,S2,760,0.983044,0.982639,-0.000404,3.009211,3.169737,-0.160526,2.214905,2.645636
11,S3,760,0.991457,0.991677,0.000220,2.927632,3.244737,-0.317105,2.434899,2.863321
11,S4,760,0.981387,0.980943,-0.000445,3.051316,3.260526,-0.209211,2.809390,3.095116
11,REM,760,0.988527,0.989980,0.001454,3.463158,3.772368,-0.309211,2.060138,2.312145
12,S1,760,0.982199,0.980238,-0.001961,3.971053,3.663158,0.307895,1.723064,2.052691
12,S2,760,0.982620,0.983101,0.000481,3.547368,3.225000,0.322368,2.029357,2.410803
12,S3,760,0.990505,0.989720,-0.000785,3.256579,3.267105,-0.010526,2.446885,2.760887
12,S4,760,0.989568,0.989256,-0.000312,3.056579,3.339474,-0.282895,2.688117,2.888057
12,REM,760,0.975008,0.974320,-0.000688,3.922368,4.001316,-0.078947,1.703838,1.851110
13,S1,760,0.985615,0.978129,-0.007486,3.207895,2.340789,0.867105,1.827216,2.728466
13,S2,760,0.987817,0.984245,-0.003572,3.090789,2.890789,0.200000,2.151569,2.761393
13,S3,684,0.992562,0.991786,-0.000776,2.709064,2.799708,-0.090643,2.322168,2.807986
13,S4,760,0.991196,0.991906,0.000710,3.023684,3.507895,-0.484211,2.626098,2.886735
13,REM,760,0.990915,0.989188,-0.001727,3.357895,3.268421,0.089474,1.905219,2.436208
14,S1,760,0.978454,0.976657,-0.001797,3.785526,3.578947,0.206579,1.658543,2.180389
14,S2,760,0.991415,0.990639,-0.000776,3.530263,2.898684,0.631579,2.152282,2.772472
14,S3,456,0.991142,0.992794,0.001652,2.853070,3.100877,-0.247807,2.271718,2.873153
14,S4,760,0.993852,0.995242,0.001389,2.688158,3.514474,-0.826316,2.531429,2.993778
14,REM,760,0.990275,0.990162,-0.000113,4.092105,4.086842,0.005263,1.860670,2.330426
15,S1,760,0.973221,0.959450,-0.013771,4.068421,3.600000,0.468421,1.430647,2.204335
15,S2,760,0.990693,0.993071,0.002378,3.752632,3.942105,-0.189474,2.004587,2.348269
15,S3,760,0.989637,0.992448,0.002811,3.335526,3.723684,-0.388158,2.138841,2.467750
15,S4,760,0.993650,0.994954,0.001304,3.355263,3.927632,-0.572368,2.383287,2.641411
15,REM,760,0.979757,0.980006,0.000249,3.907895,3.834211,0.073684,1.748694,2.267417
16,S1,760,0.986029,0.983921,-0.002108,3.571053,3.384211,0.186842,1.721684,2.674955
16,S2,760,0.985882,0.988454,0.002572,3.071053,2.713158,0.357895,2.042358,3.007758
16,S3,722,0.987238,0.990258,0.003021,2.721607,2.896122,-0.174515,2.296371,3.287421
16,S4,760,0.991510,0.994124,0.002614,2.450000,2.836842,-0.386842,2.569044,3.214462
16,REM,760,0.983556,0.986521,0.002965,3.484211,3.909211,-0.425000,1.753856,2.658094
17,S1,760,0.964467,0.967601,0.003134,3.396053,3.280263,0.115789,1.655731,2.137585
17,S2,760,0.987575,0.978400,-0.009174,3.600000,2.665789,0.934211,2.047862,2.556633
17,S3,342,0.991364,0.989071,-0.002293,3.137427,2.681287,0.456140,2.366356,2.799635
17,S4,760,0.992731,0.991822,-0.000909,2.838158,2.651316,0.186842,2.642404,2.915432
17,REM,760,0.983052,0.981812,-0.001240,3.672368,3.403947,0.268421,1.846927,2.430743
18,S1,589,0.982800,0.984729,0.001929,3.962649,4.049236,-0.086587,1.736339,2.142644
18,S2,760,0.991272,0.990441,-0.000831,3.088158,2.735526,0.352632,2.257912,2.831322
18,S3,760,0.988754,0.989387,0.000634,3.119737,2.828947,0.290789,2.387638,2.904522
18,S4,760,0.987954,0.987264,-0.000690,3.072368,2.975000,0.097368,2.691098,3.003070
18,REM,760,0.982354,0.985961,0.003607,3.919737,4.381579,-0.461842,1.799725,2.304351
19,S1,361,0.986938,0.983222,-0.003715,3.819945,3.229917,0.590028,1.659125,2.152084
19,S2,760,0.988351,0.988398,0.000047,2.892105,2.784211,0.107895,2.148816,2.865882
19,S3,760,0.990656,0.991694,0.001038,2.673684,2.594737,0.078947,2.351952,3.042777
19,S4,760,0.993591,0.993545,-0.000045,2.393421,2.473684,-0.080263,2.636159,3.038364
19,REM,760,0.988516,0.992916,0.004400,3.655263,4.221053,-0.565789,1.840914,2.490652
20,S1,760,0.976169,0.970438,-0.005731,3.767105,3.536842,0.230263,1.792176,2.402177
20,S2,760,0.990494,0.992727,0.002232,3.171053,2.848684,0.322368,2.281166,2.800146
20,S3,760,0.992368,0.993843,0.001475,2.807895,2.768421,0.039474,2.490258,2.996028
20,S4,760,0.993981,0.993104,-0.000876,2.605263,2.527632,0.077632,2.809660,3.183957
20,REM,760,0.965789,0.974101,0.008312,3.923684,4.368421,-0.444737,1.729047,2.249884
21,S1,665,0.977858,0.975818,-0.002040,3.736842,3.311278,0.425564,1.611533,2.293484
21,S2,760,0.977312,0.979438,0.002126,3.318421,2.540789,0.777632,2.066707,2.360960
21,S3,760,0.991682,0.987727,-0.003954,2.802632,2.075000,0.727632,2.340477,2.597248
21,S4,760,0.991608,0.987397,-0.004210,2.686842,2.069737,0.617105,2.708223,2.908489
21,REM,760,0.972673,0.973856,0.001183,3.636842,3.517105,0.119737,1.804633,2.422993
22,S1,760,0.985634,0.984516,-0.001118,3.397368,3.147368,0.250000,1.874138,2.666321
22,S2,760,0.987834,0.985953,-0.001882,3.092105,2.540789,0.551316,2.124426,2.675096
22,S3,760,0.988806,0.987564,-0.001242,2.900000,2.522368,0.377632,2.415339,2.769580
22,S4,760,0.988764,0.989494,0.000730,3.031579,2.961842,0.069737,2.648187,2.911387
22,REM,760,0.979771,0.978324,-0.001447,3.731579,3.151316,0.580263,1.789090,2.454931
23,S1,304,0.991040,0.990571,-0.000470,3.605263,3.654605,-0.049342,2.095629,2.582090
23,S2,760,0.990813,0.989580,-0.001233,2.757895,2.548684,0.209211,2.289636,2.974743
23,S3,760,0.992512,0.990567,-0.001945,2.861842,2.646053,0.215789,2.469606,3.013807
23,S4,760,0.991314,0.990979,-0.000335,2.810526,3.060526,-0.250000,2.721972,3.152354
23,REM,760,0.983366,0.985615,0.002249,3.325000,3.689474,-0.364474,2.088063,2.558337
24,S1,760,0.948688,0.950767,0.002079,3.923684,3.515789,0.407895,1.142541,1.454026
24,S2,760,0.983422,0.985080,0.001658,3.390789,3.126316,0.264474,1.901529,2.542496
24,S3,760,0.986170,0.988369,0.002200,2.872368,2.907895,-0.035526,2.095035,2.726865
24,S4,760,0.987918,0.988961,0.001043,2.706579,2.838158,-0.131579,2.541813,2.927729
24,REM,760,0.984510,0.990951,0.006442,3.717105,4.551316,-0.834211,1.752387,2.327580
25,S1,760,0.978785,0.974634,-0.004151,3.643421,3.735526,-0.092105,1.861687,2.678400
25,S2,760,0.988268,0.992424,0.004156,3.434211,3.409211,0.025000,2.150196,2.610440
25,S3,760,0.983953,0.984935,0.000982,3.111842,3.343421,-0.231579,2.299820,2.627336
25,S4,760,0.988915,0.990257,0.001342,2.992105,3.568421,-0.576316,2.540649,2.827487
25,REM,760,0.966925,0.965429,-0.001496,3.975000,3.648684,0.326316,1.667817,2.290923
26,S1,760,0.982734,0.974846,-0.007888,3.700000,3.375000,0.325000,1.760882,2.493784
26,S2,760,0.987982,0.984231,-0.003752,3.219737,2.328947,0.890789,2.164297,2.677817
26,S3,760,0.991628,0.989954,-0.001673,2.764474,2.210526,0.553947,2.417135,2.768942
26,S4,760,0.994290,0.992597,-0.001693,2.609211,2.500000,0.109211,2.823388,3.009873
26,REM,760,0.985324,0.989834,0.004511,3.656579,3.888158,-0.231579,1.869131,2.523413
27,S1,760,0.974059,0.975140,0.001081,3.680263,3.630263,0.050000,1.596155,2.311293
27,S2,760,0.989242,0.987729,-0.001512,3.719737,3.155263,0.564474,2.152379,2.571307
27,S3,760,0.990892,0.991236,0.000343,3.415789,3.260526,0.155263,2.333795,2.685174
27,S4,760,0.991988,0.991926,-0.000062,3.410526,3.551316,-0.140789,2.627087,2.836925
27,REM,760,0.979368,0.980769,0.001401,3.542105,3.567105,-0.025000,1.860197,2.738125
28,S1,209,0.985064,0.982246,-0.002818,3.196172,3.009569,0.186603,1.902608,3.488967
28,S2,760,0.989576,0.984110,-0.005466,2.823684,2.338158,0.485526,2.323748,3.785201
28,S3,760,0.991127,0.983250,-0.007877,2.890789,2.157895,0.732895,2.522191,3.792178
28,S4,760,0.992952,0.990991,-0.001961,2.640789,2.294737,0.346053,2.827328,3.460066
28,REM,760,0.985720,0.989238,0.003518,2.997368,3.321053,-0.323684,1.926395,3.320481
29,S1,247,0.979760,0.976350,-0.003410,3.360324,3.481781,-0.121457,1.629789,2.240728
29,S2,760,0.987019,0.986840,-0.000178,3.165789,2.744737,0.421053,2.173812,2.704566
29,S3,760,0.989650,0.989397,-0.000253,3.114474,2.769737,0.344737,2.499428,2.896414
29,S4,760,0.993855,0.993384,-0.000471,2.693421,2.718421,-0.025000,2.897518,3.250105
29,REM,760,0.988595,0.993650,0.005055,3.348684,4.617105,-1.268421,1.912830,2.636101
30,S1,741,0.981530,0.984578,0.003048,3.982456,3.954116,0.028340,1.672443,2.203841
30,S2,760,0.989397,0.990864,0.001467,2.971053,2.505263,0.465789,2.153180,2.861133
30,S3,760,0.991806,0.991770,-0.000036,2.850000,2.714474,0.135526,2.343417,2.994233
30,S4,760,0.982777,0.979943,-0.002835,2.839474,2.918421,-0.078947,2.549917,2.932482
30,REM,760,0.986110,0.989382,0.003271,3.961842,4.190789,-0.228947,1.788265,2.228672
31,S1,760,0.981546,0.981807,0.000261,4.106579,3.868421,0.238158,1.613187,2.181134
31,S2,760,0.990206,0.988732,-0.001473,3.428947,2.607895,0.821053,2.240959,2.764999
31,S3,760,0.991016,0.988835,-0.002181,3.223684,2.467105,0.756579,2.343892,2.765770
31,S4,760,0.993566,0.993218,-0.000348,2.989474,2.669737,0.319737,2.702139,3.024031
31,REM,760,0.987506,0.990436,0.002930,4.206579,4.326316,-0.119737,1.718767,2.201567
32,S1,760,0.981659,0.977458,-0.004201,3.471053,3.244737,0.226316,1.779496,2.609985
32,S2,760,0.991206,0.991927,0.000721,3.165789,2.901316,0.264474,2.433150,2.874115
32,S3,760,0.992168,0.992088,-0.000081,3.031579,2.714474,0.317105,2.547417,2.974441
32,S4,760,0.991752,0.991927,0.000175,2.763158,2.972368,-0.209211,2.726596,3.048677
32,REM,760,0.978632,0.984241,0.005608,3.525000,3.903947,-0.378947,1.903354,2.448639
33,S1,399,0.987130,0.988773,0.001643,4.293233,4.070175,0.223058,1.699365,2.271044
33,S2,760,0.985022,0.987056,0.002034,3.438158,2.455263,0.982895,2.183583,2.880179
33,S3,589,0.992665,0.991577,-0.001088,3.261460,2.303905,0.957555,2.474344,2.944403
33,S4,760,0.994355,0.993415,-0.000940,3.194737,2.810526,0.384211,2.806699,3.061826
33,REM,760,0.982991,0.991281,0.008289,3.823684,4.236842,-0.413158,1.771804,2.303344
34,S1,760,0.979085,0.962024,-0.017062,3.682895,3.147368,0.535526,1.508267,3.739364
34,S2,760,0.985892,0.977947,-0.007945,3.555263,2.706579,0.848684,1.895889,2.632406
34,S3,760,0.991289,0.988894,-0.002395,3.353947,2.768421,0.585526,2.190100,2.438243
34,S4,760,0.993636,0.988713,-0.004923,3.192105,2.389474,0.802632,2.366546,2.456322
34,REM,760,0.979603,0.974760,-0.004843,3.528947,3.303947,0.225000,1.589816,2.635400
35,S1,760,0.988194,0.985483,-0.002711,3.827632,3.310526,0.517105,1.839112,2.326405
35,S2,760,0.991624,0.989975,-0.001649,3.107895,2.551316,0.556579,2.226484,2.623712
35,S3,760,0.993771,0.992673,-0.001098,2.785526,2.365789,0.419737,2.585330,2.922185
35,S4,760,0.994193,0.992754,-0.001439,3.022368,2.843421,0.178947,2.757363,2.999892
35,REM,760,0.988358,0.987523,-0.000835,4.035526,4.009211,0.026316,1.807310,2.461478
36,S1,38,0.970019,0.970609,0.000589,3.342105,3.210526,0.131579,2.014914,2.209091
36,S2,760,0.990691,0.990836,0.000146,2.986842,2.736842,0.250000,2.311441,2.696711
36,S3,760,0.990683,0.989879,-0.000804,3.042105,2.685526,0.356579,2.530850,2.849847
36,S4,760,0.992074,0.991402,-0.000672,2.819737,2.871053,-0.051316,2.891472,3.167614
36,REM,760,0.987995,0.991990,0.003995,3.113158,4.228947,-1.115789,1.958796,2.361385
37,S1,760,0.977719,0.976657,-0.001062,3.978947,3.494737,0.484211,1.675458,2.143748
37,S2,760,0.988664,0.987208,-0.001456,3.277632,2.568421,0.709211,2.172488,2.547552
37,S3,760,0.990985,0.989104,-0.001881,3.044737,2.655263,0.389474,2.357030,2.719516
37,S4,760,0.991949,0.990204,-0.001745,2.955263,2.640789,0.314474,2.609987,2.901763
37,REM,760,0.987828,0.987302,-0.000527,4.085526,3.751316,0.334211,1.820968,2.263187
38,S1,513,0.962242,0.964931,0.002690,4.233918,3.830409,0.403509,1.471574,1.754677
38,S2,760,0.975673,0.977335,0.001663,3.328947,2.867105,0.461842,1.998116,2.290733
38,S3,760,0.991377,0.991650,0.000273,2.922368,2.709211,0.213158,2.252570,2.612098
38,S4,760,0.991736,0.991534,-0.000203,2.725000,2.963158,-0.238158,2.591484,2.898275
38,REM,760,0.984934,0.986364,0.001430,3.963158,3.901316,0.061842,1.701457,2.071132
